"plot_ID","CCS_nr","plot_A_ha","inv_year","compartiment","B_t_ha","C_t_ha","N_t_ha"
"50043","1","0.00785398163397448","2011","total","0","0","0"
"50043","2","0.00785398163397448","2011","ag","0","0","0"
"50043","2","0.00785398163397448","2011","bg","0","0","0"
"50043","2","0.00785398163397448","2011","total","0","0","0"
"50043","3","0.00785398163397448","2011","ag","0","0","0"
"50043","3","0.00785398163397448","2011","bg","0","0","0"
"50043","3","0.00785398163397448","2011","total","0","0","0"
"50043","4","0.00785398163397448","2011","ag","0","0","0"
"50043","4","0.00785398163397448","2011","bg","0","0","0"
"50043","4","0.00785398163397448","2011","total","0","0","0"
"50045","2","0.00785398163397448","2011","ag","0","0","0"
"50045","2","0.00785398163397448","2011","bg","0","0","0"
"50045","2","0.00785398163397448","2011","total","0","0","0"
"50045","3","0.00785398163397448","2011","ag","0","0","0"
"50045","3","0.00785398163397448","2011","bg","0","0","0"
"50045","3","0.00785398163397448","2011","total","0","0","0"
"50047","1","0.00785398163397448","2012","ag","0","0","0"
"50047","1","0.00785398163397448","2012","bg","0","0","0"
"50047","1","0.00785398163397448","2012","total","0","0","0"
"50047","4","0.00785398163397448","2012","ag","0","0","0"
"50047","4","0.00785398163397448","2012","bg","0","0","0"
"50047","4","0.00785398163397448","2012","total","0","0","0"
"50048","1","0.00785398163397448","2012","ag","0","0","0"
"50048","1","0.00785398163397448","2012","bg","0","0","0"
"50048","1","0.00785398163397448","2012","total","0","0","0"
"50049","3","0.00785398163397448","2012","ag","0","0","0"
"50049","3","0.00785398163397448","2012","bg","0","0","0"
"50049","3","0.00785398163397448","2012","total","0","0","0"
"50049","4","0.00785398163397448","2012","ag","0","0","0"
"50049","4","0.00785398163397448","2012","bg","0","0","0"
"50049","4","0.00785398163397448","2012","total","0","0","0"
"50050","1","0.00785398163397448","2012","ag","0","0","0"
"50050","1","0.00785398163397448","2012","bg","0","0","0"
"50050","1","0.00785398163397448","2012","total","0","0","0"
"50055","1","0.00785398163397448","2012","ag","0","0","0"
"50055","1","0.00785398163397448","2012","bg","0","0","0"
"50055","1","0.00785398163397448","2012","total","0","0","0"
"50055","2","0.00785398163397448","2012","ag","0","0","0"
"50055","2","0.00785398163397448","2012","bg","0","0","0"
"50055","2","0.00785398163397448","2012","total","0","0","0"
"50057","2","0.00785398163397448","2012","ag","0","0","0"
"50057","2","0.00785398163397448","2012","bg","0","0","0"
"50057","2","0.00785398163397448","2012","total","0","0","0"
"50061","1","0.00785398163397448","2012","ag","0","0","0"
"50061","1","0.00785398163397448","2012","bg","0","0","0"
"50061","1","0.00785398163397448","2012","total","0","0","0"
"50061","2","0.00785398163397448","2012","ag","0","0","0"
