"bund_nr","pk_nr","pk_aufnahme","pk_richtung","pk_dist","pk_maxdist","pk_anmerkung"
40004,2,1,"o",1000,494,NA
40005,2,1,"o",1000,344,NA
30001,2,1,"o",1000,258,NA
30002,2,1,"o",1000,216,NA
30004,2,1,"o",1000,108,NA
30006,2,1,"o",1000,180,NA
30007,2,1,"o",1000,424,NA
30008,2,1,"o",1000,44,NA
30009,2,1,"o",1000,126,NA
30601,2,1,"o",1000,459,NA
30602,2,1,"o",1000,481,NA
30013,2,1,"o",1000,345,NA
30014,2,2,"o",1000,-9,NA
30016,2,1,"o",1000,177,NA
30019,2,1,"o",1000,383,NA
30022,2,1,"o",1000,159,NA
30023,2,1,"o",1000,275,NA
30024,2,1,"o",1000,352,NA
30026,2,1,"o",1000,465,NA
30028,2,1,"o",1000,420,NA
30029,2,1,"o",1000,255,NA
30603,2,1,"o",1000,104,NA
30604,2,1,"o",1000,462,NA
30031,2,2,"o",1000,-9,NA
30032,2,1,"o",1000,271,NA
30033,2,1,"o",1000,485,NA
30034,2,1,"o",1000,465,NA
30036,2,2,"o",1000,-9,NA
30605,2,1,"o",1000,92,NA
30037,2,1,"o",1000,349,NA
30606,2,2,"o",1000,-9,NA
30039,2,1,"o",1000,125,NA
30040,2,1,"o",1000,127,NA
30042,2,1,"o",1000,379,NA
30044,2,1,"o",1000,497,NA
30607,2,1,"o",1000,134,NA
30051,2,1,"o",1000,358,NA
30053,2,2,"o",1000,-9,NA
30055,2,1,"o",1000,109,NA
30058,2,1,"o",1000,378,NA
30059,2,1,"o",1000,130,NA
30608,2,1,"o",1000,461,NA
30060,2,1,"o",1000,468,NA
30062,2,1,"o",1000,134,NA
30063,2,1,"o",1000,417,NA
30064,2,1,"o",1000,256,NA
30069,2,1,"o",1000,143,NA
30609,2,1,"o",1000,285,NA
30610,2,1,"o",1000,55,NA
30070,2,1,"o",1000,109,NA
30510,2,2,"o",1000,-9,NA
30515,2,1,"o",1000,352,NA
30611,2,1,"o",1000,392,NA
30077,2,1,"o",1000,219,NA
30079,2,1,"o",1000,170,NA
30080,2,2,"o",1000,-9,NA
30081,2,1,"o",1000,241,NA
30083,2,1,"o",1000,498,NA
30522,2,1,"o",1000,307,NA
30086,2,1,"o",1000,459,NA
30088,2,2,"o",1000,-9,NA
30089,2,1,"o",1000,490,NA
30094,2,1,"o",1000,318,NA
30612,2,2,"o",1000,-9,NA
30521,2,1,"o",1000,304,NA
30098,2,1,"o",1000,264,NA
30613,2,1,"o",1000,197,NA
30099,2,1,"o",1000,107,NA
30614,2,1,"o",1000,421,NA
30615,2,1,"o",1000,499,NA
30616,2,1,"o",1000,291,NA
30617,2,1,"o",1000,248,NA
30618,2,1,"o",1000,196,NA
30105,2,1,"o",1000,498,NA
30619,2,1,"o",1000,108,NA
30107,2,1,"o",1000,449,NA
30109,2,1,"o",1000,179,NA
30110,2,2,"o",1000,-9,NA
30111,2,1,"o",1000,495,NA
30112,2,1,"o",1000,423,NA
30620,2,1,"o",1000,469,NA
30501,2,1,"o",1000,465,NA
30621,2,1,"o",1000,488,NA
30118,2,1,"o",1000,362,NA
30119,2,2,"o",1000,-9,NA
30622,2,1,"o",1000,89,NA
30123,2,1,"o",1000,473,NA
30125,2,1,"o",1000,493,NA
30513,2,1,"o",1000,272,NA
30623,2,1,"o",1000,367,NA
30514,2,1,"o",1000,422,NA
30127,2,1,"o",1000,491,NA
30128,2,1,"o",200,314,NA
30129,2,1,"o",1000,247,NA
30130,2,1,"o",1000,200,NA
30131,2,2,"o",1000,-9,NA
30624,2,1,"o",1000,292,NA
30509,2,1,"o",1000,180,NA
30132,2,1,"o",1000,283,NA
30625,2,1,"o",1000,390,NA
30626,2,1,"o",1000,266,NA
30627,2,1,"o",1000,462,NA
30138,2,1,"o",1000,406,NA
30139,2,1,"o",1000,289,NA
30141,2,1,"o",1000,316,NA
30142,2,1,"o",1000,323,NA
30143,2,1,"o",1000,442,NA
30628,2,1,"o",1000,348,NA
30629,2,1,"o",1000,381,NA
30630,2,1,"o",1000,301,NA
30504,2,1,"o",1000,482,NA
30507,2,1,"o",1000,433,NA
30147,2,1,"o",1000,178,NA
30148,2,1,"o",1000,163,NA
30150,2,1,"o",400,371,NA
30154,2,1,"o",1000,381,NA
30157,2,1,"o",1000,143,NA
30505,2,1,"o",1000,484,NA
30158,2,1,"o",1000,342,NA
30159,2,1,"o",0,416,NA
30160,2,1,"o",1000,491,NA
30631,2,1,"o",1000,488,NA
30161,2,1,"o",1000,269,NA
30163,2,1,"o",1000,249,NA
30632,2,1,"o",1000,338,NA
30164,2,1,"o",1000,145,NA
30165,2,1,"o",1000,446,NA
30508,2,1,"o",1000,432,NA
30511,2,1,"o",1000,483,NA
30167,2,2,"o",1000,-9,NA
30633,2,1,"o",1000,149,NA
30634,2,1,"o",1000,372,NA
30635,2,1,"o",1000,495,NA
30636,2,1,"o",1000,182,NA
30168,2,1,"o",1000,174,NA
30169,2,1,"o",1000,494,NA
30637,2,1,"o",1000,321,NA
30170,2,1,"o",1000,411,NA
30171,2,1,"o",1000,481,NA
30503,2,1,"o",1000,491,NA
30638,2,1,"o",1000,274,NA
30639,2,1,"o",1000,498,NA
30178,2,2,"o",1000,-9,NA
30179,2,1,"o",1000,468,NA
30502,2,1,"o",1000,364,NA
30506,2,1,"o",1000,345,NA
30640,2,2,"o",1000,-9,NA
30641,2,1,"o",1000,46,NA
30182,2,1,"o",1000,497,NA
30512,2,1,"o",1000,286,NA
30186,2,1,"o",1000,486,NA
30188,2,1,"o",1000,406,NA
30191,2,1,"o",1000,341,NA
30192,2,1,"o",1000,276,NA
30642,2,1,"o",300,314,NA
30516,2,1,"o",800,298,NA
30517,2,1,"o",1000,495,NA
30643,2,1,"o",1000,148,NA
30518,2,1,"o",1000,448,NA
30644,2,2,"o",1000,-9,NA
30519,2,1,"o",1000,481,NA
30645,2,1,"o",1000,189,NA
30646,2,1,"o",1000,495,NA
30520,2,1,"o",500,172,NA
30647,2,1,"o",1000,434,NA
30648,2,1,"o",1000,464,NA
30649,2,2,"o",1000,-9,NA
30523,2,2,"o",1000,-9,NA
30650,2,1,"o",1000,257,NA
30651,2,1,"o",1000,456,NA
30652,2,1,"o",1000,349,NA
40001,1,1,"n",1000,148,NA
40003,1,1,"n",1000,18,NA
40004,1,1,"n",1000,416,NA
40005,1,1,"n",1000,347,NA
30001,1,1,"n",1000,469,NA
30002,1,1,"n",1000,122,NA
30004,1,1,"n",1000,129,NA
30006,1,1,"n",1000,163,NA
30007,1,1,"n",1000,186,NA
30008,1,1,"n",1000,112,NA
30009,1,1,"n",500,315,NA
30601,1,1,"n",1000,498,NA
30602,1,1,"n",1000,372,NA
