"bfhnr_2","bfhnr_1","erhebjahr_1","erhebjahr_2","bestandestyp_2","besttyp_2d","humusform_2","agghu_typ_2","eu_humusform","bodentyp_2","bodentypgr_2","bodenklasse_2","podsoligkeit_2","gruendigkeit_2","wrb"
30503,3503,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MUO","MU","1","PP-BB","BB","B","-9","+180",NA
30504,3504,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","GMO","MOT","2","PP-YU","YU","Y","-9","+190",NA
30505,3505,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","2","BB-PP","PP","P","-9","+200",NA
30506,3506,1991,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MOR","MOT","2","BB-GG","GG","G","p3","+130",NA
30507,3507,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR","2","BB-PP","PP","P","-9","+200",NA
30508,3508,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","2","SS-PP","PP","P","-9","+190",NA
30509,3509,1990,2007,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MRR","MR","2","GG-PP","PP","P","-9","+140",NA
30510,3510,1991,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT","2","LL-BB","BB","B","p4","+140",NA
30511,3511,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOA","MOT","2","BB","BB","B","p2","+160",NA
30512,3512,1991,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUO","MU","1","SS","SS","S","p1","+110",NA
30513,3513,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","2","PP-YK","YK","Y","-9","+190",NA
30514,3514,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR","2","BB-PP","PP","P","-9","+200",NA
30515,3515,-2,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOA","MOT","2","DD-BB","BB","B","p2","+100",NA
30516,NA,-2,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOA","MOT","2","BB-PP","PP","P","-9","+200",NA
30517,NA,-2,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUT","MU","1","YK","YK","Y","p1","+200",NA
30518,NA,-2,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MOF","MOF","6","KV","KV","K","p1","+110",NA
30519,NA,-2,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOA","MOT","2","LF","LF","L","p1","+170",NA
30520,NA,-2,2007,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MUT","MU","1","YU","YU","Y","p1","+130",NA
30521,3521,-2,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MOF","MOF","6","GH","GH","G","p1","+90",NA
30522,3522,-2,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM","2","DD-SS","SS","S","p1","+95",NA
30523,3523,-2,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","GMO","MOT","2","BB-RQ","RQ","R","p2","+200",NA
30601,NA,-2,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM","-9","LL-BB","BB","B","p2","+140","-1/-1/-1/-1/-1"
30602,NA,-2,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","AMO","AMO","-9","SS","SS","S","p1","+110","-1/-1/-1/-1/-1"
30603,NA,-2,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT","-9","RN-BB","BB","B","p1","+100","-1/-1/-1/-1/-1"
30604,NA,-2,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM","-9","BB","BB","B","p1","+100","-1/-1/-1/-1/-1"
30605,NA,-2,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT","-9","BB","BB","B","p2","+120","-1/-1/-1/-1/-1"
30606,NA,-2,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT","-9","BB","BB","B","p3","+100","-1/-1/-1/-1/-1"
30607,NA,-2,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT","-9","LL","LL","L","p3","+120","-1/-1/-1/-1/-1"
30608,NA,-2,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUO","MU","-9","BB","BB","B","p1","+130","-1/-1/-1/-1/-1"
30609,NA,-2,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUT","MU","-9","BB-CF","CF","C","p1","+120","-1/-1/-1/-1/-1"
30610,NA,-2,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUT","MU","-9","LL","LL","L","p1","+115","-1/-1/-1/-1/-1"
30611,NA,-2,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT","-9","CF","CF","C","p1","+110","-1/-1/-1/-1/-1"
30612,NA,-2,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","-9","PP-BB","BB","B","-9","+200","-1/-1/-1/-1/-1"
30613,NA,-2,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MOR","MOT","-9","SS","SS","S","p1","+135","-1/-1/-1/-1/-1"
30614,NA,-2,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","GMO","MOT","-9","PP","PP","P","-9","+170","-1/-1/-1/-1/-1"
30615,NA,-2,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","-9","PP-BB","BB","B","-9","+200","-1/-1/-1/-1/-1"
30616,NA,-2,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","-1","-1","-9","-1","-1","-1",NA,NA,"-1/-1/-1/-1/-1"
30617,NA,-2,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","-9","BB","BB","B","p2","+180","-1/-1/-1/-1/-1"
30618,NA,-2,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","GMO","MOT","-9","PP","PP","P","-9","+200","-1/-1/-1/-1/-1"
30619,NA,-2,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRA","MR","-9","PP-BB","BB","B","-9","+190","-1/-1/-1/-1/-1"
30620,NA,-2,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR","-9","BB-PP","PP","P","-9","+200","-1/-1/-1/-1/-1"
30621,NA,-2,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","GMO","MOT","-9","BB","BB","B","p2","+200","-1/-1/-1/-1/-1"
30622,NA,-2,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUT","MU","-9","BB","BB","B","p1","+190","-1/-1/-1/-1/-1"
30623,NA,-2,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","-9","BB-PP","PP","P","-9","+200","-1/-1/-1/-1/-1"
