"bund_nr","lfd_nr","zwiesel","bart","alter","alter_methode","d_mess","bhd_hoehe","hoehe","kransatz","azi","hori","kraft","schi"
"32090",12,NA,"SER",NA,1,150,130,NA,NA,3.33333333333333,1222,"4",1
"32090",13,NA,"SER",NA,1,173,130,168,117,16.6666666666667,1187,"4",1
"32090",14,NA,"SER",NA,1,108,130,NA,NA,18.8888888888889,1163,"4",1
"32090",15,NA,"SER",NA,1,166,130,154,108,44.4444444444444,225,"4",1
"32090",16,NA,"SER",NA,1,156.6,130,NA,NA,53.3333333333333,188,"4",1
"32090",17,NA,"SER",NA,1,131,160,NA,NA,27.7777777777778,1031,"4",1
"32090",18,NA,"SER",NA,1,138,160,NA,NA,28.8888888888889,1074,"4",1
"32090",19,NA,"SER",NA,1,144,130,88,28,47.7777777777777,976,"4",1
"32090",20,NA,"SER",NA,1,80.1,130,NA,NA,56.6666666666666,1141,"4",1
"32090",21,NA,"SER",NA,1,152,130,148,108,65.5555555555555,1136,"4",1
"32090",22,NA,"SER",NA,1,119.2,130,NA,NA,102.222222222222,922,"4",1
"32090",23,NA,"SER",NA,1,86,130,NA,NA,104.444444444444,980,"4",1
"32090",24,NA,"SER",NA,1,86,130,NA,NA,108.888888888889,954,"4",1
"32090",25,NA,"SER",NA,1,161,130,NA,NA,102.222222222222,1252,"4",1
"32090",26,NA,"SER",NA,1,109,130,NA,NA,118.888888888889,1070,"4",1
"32090",27,NA,"SER",NA,1,130,130,NA,NA,128.888888888889,1020,"4",1
"32090",28,NA,"SER",NA,1,112.5,130,149,38,144.444444444444,352,"4",1
"32090",29,NA,"SER",NA,1,90,130,NA,NA,146.666666666667,377,"4",1
