"MoMoK_Nr","Spalte1","Bundeland","Datum","Nr_VJ_PK","Lage","Distanz MB [cm]","pk_maxdist [cm]","LfdNr","Baumart (Code)","Baumart","Hoehe [cm]","grklasse"
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"W","West",1000,476,7,104,"SER",260,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"W","West",1000,476,8,104,"SER",210,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"W","West",1000,476,9,104,"SER",200,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"W","West",1000,476,10,104,"SER",120,0
34030,"Steinbach/Steinbach","SN",2022-08-24,"N","Nord",1000,207,1,207,"GFI",50,0
34030,"Steinbach/Steinbach","SN",2022-08-24,"N","Nord",1000,207,2,207,"GFI",45,0
34030,"Steinbach/Steinbach","SN",2022-08-24,"N","Nord",1000,207,3,207,"GFI",35,0
34030,"Steinbach/Steinbach","SN",2022-08-24,"N","Nord",1000,207,4,207,"GFI",30,0
34030,"Steinbach/Steinbach","SN",2022-08-24,"N","Nord",1000,207,5,207,"GFI",30,0
34030,"Steinbach/Steinbach","SN",2022-08-24,"N","Nord",1000,207,6,207,"GFI",30,0
34030,"Steinbach/Steinbach","SN",2022-08-24,"N","Nord",1000,207,7,207,"GFI",25,0
34030,"Steinbach/Steinbach","SN",2022-08-24,"N","Nord",1000,207,8,207,"GFI",30,0
34030,"Steinbach/Steinbach","SN",2022-08-24,"N","Nord",1000,207,9,207,"GFI",40,0
34030,"Steinbach/Steinbach","SN",2022-08-24,"N","Nord",1000,207,10,207,"GFI",45,0
