"bund_nr","lfd_nr","typ","baumgruppe","durchmesser","laenge","zersetzung","anzahl"
34040,46,3,2,"14",61,3,-9
33040,1,4,1,"20",3,5,-9
33040,2,3,1,"11",14,3,-9
33040,3,1,1,"10",80,2,-9
33040,4,1,1,"9",31,2,-9
33040,5,1,1,"9",48,2,-9
33040,6,3,1,"12",15,1,-9
33040,7,1,1,"10",160,1,-9
33040,8,3,1,"12",18,2,-9
33040,9,3,1,"16",38,2,-9
33040,10,1,1,"10",24,2,-9
33040,11,1,1,"s",60,2,-9
33040,12,3,1,"12",38,2,-9
33040,13,1,1,"9",60,2,-9
33040,14,4,1,"10",8,2,-9
33040,15,1,1,"12",96,2,-9
33040,16,1,1,"9",72,2,-9
33040,17,3,1,"19",58,2,-9
33040,18,2,1,"17",202,2,-9
33040,19,3,1,"10",33,2,-9
33040,20,3,1,"18",45,2,-9
33040,21,3,1,"11",38,2,-9
33040,22,3,1,"15",43,2,-9
33040,23,1,1,"9",21,2,-9
33040,24,1,1,"9",24,4,-9
33040,25,1,1,"14",14,3,-9
33040,26,1,1,"12",12,4,-9
33040,27,4,1,"12",6,2,-9
33040,28,1,1,"11",52,3,-9
33040,29,1,1,"8",58,3,-9
33040,30,1,1,"12",95,2,-9
33040,31,1,1,"14",49,2,-9
33040,32,1,1,"15",34,3,-9
33040,33,1,1,"11",90,2,-9
33040,34,1,1,"11",42,2,-9
33040,35,1,1,"10",71,3,-9
33040,36,3,1,"19",60,2,-9
29080,1,3,2,"12",95,1,-9
29080,2,2,2,"13",85,1,-9
29080,3,3,2,"21",14,4,-9
29080,4,3,2,"23",24,3,-9
29080,5,3,2,"27",25,3,-9
29080,6,3,2,"27",34,3,-9
29080,7,4,2,"15",13,3,-9
29080,8,3,2,"27",26,3,-9
29080,9,3,2,"26",20,4,-9
29080,10,2,2,"13",100,2,-9
29080,11,3,2,"19",16,4,-9
29080,12,3,2,"20",17,3,-9
29080,13,1,2,"13",110,2,-9
29080,14,1,2,"12",140,2,-9
29080,15,3,2,"17",111,2,-9
29080,16,1,2,"12",94,3,-9
29080,17,1,2,"18",210,2,-9
29080,18,1,2,"13",95,4,-9
29080,19,1,2,"15",56,3,-9
29080,20,1,2,"15",80,2,-9
29080,21,1,2,"14",148,4,-9
29080,22,1,2,"20",65,3,-9
29080,23,1,2,"18",113,4,-9
29080,24,4,2,"15",10,4,-9
29080,25,4,2,"13",3,4,-9
29080,26,1,2,"8",90,3,-9
29080,27,4,2,"13",6,4,-9
29080,28,3,2,"15",69,3,-9
29080,29,2,2,"10",69,1,-9
29080,30,1,2,"11",75,3,-9
29080,31,1,2,"20",48,4,-9
29080,32,1,2,"16",68,2,-9
29080,33,1,2,"28",20,3,-9
29080,34,1,2,"20",14,4,-9
29080,35,1,2,"17",9,4,-9
29080,36,1,2,"21",50,4,-9
29080,37,4,2,"13",5,5,-9
29080,38,1,2,"9",5,4,-9
29080,39,1,2,"12",104,4,-9
29080,40,1,2,"10",110,2,-9
29080,41,4,2,"10",3,5,-9
29080,42,4,2,"11",4,4,-9
29090,1,3,2,"16",69,3,-9
29090,2,3,2,"13",77,3,-9
29090,3,3,2,"10",77,3,-9
29090,4,2,2,"20",84,1,-9
29090,5,2,2,"13",73,1,-9
29090,6,2,2,"10",53,1,-9
29090,7,3,2,"16",57,2,-9
29090,8,2,2,"16",80,1,-9
29090,9,2,2,"16",91,1,-9
29090,10,2,2,"13",71,1,-9
29090,11,2,2,"13",60,1,-9
29090,12,2,2,"12",82,1,-9
29090,13,2,2,"11",72,1,-9
29090,14,2,2,"17",91,1,-9
29090,15,3,2,"10",50,1,-9
29090,16,3,2,"12",30,2,-9
29090,17,3,2,"12",52,2,-9
29090,18,1,2,"8",54,3,-9
29090,19,1,2,"12",77,4,-9
29090,20,1,2,"11",27,4,-9
29090,21,1,2,"8",15,5,-9
29090,22,3,2,"11",19,4,-9
29090,23,1,2,"10",31,4,-9
29090,24,1,2,"10",61,4,-9
29090,25,1,2,"12",60,4,-9
29090,26,1,2,"12",37,4,-9
29090,27,3,2,"10",42,2,-9
29090,28,1,2,"9",59,3,-9
29090,29,1,2,"11",23,4,-9
29090,30,3,2,"12",60,2,-9
29090,31,3,2,"9",44,2,-9
29090,32,3,2,"9",37,2,-9
29090,33,4,2,"27",3,5,-9
29090,34,1,2,"10",30,4,-9
29090,35,1,2,"11",45,3,-9
29090,36,1,2,"9",43,2,-9
35500,1,4,1,"27",6,5,-9
35500,2,4,1,"18",2,5,-9
35500,3,4,1,"32",2,5,-9
35500,4,4,1,"28",2,5,-9
35500,5,4,1,"46",3,5,-9
35500,6,1,1,"10",11,5,-9
35500,7,4,1,"21",7,5,-9
35500,8,1,1,"9",4,4,-9
35500,9,4,1,"12",7,4,-9
35500,10,4,1,"42",6,5,-9
35500,11,1,1,"9",22,4,-9
35500,12,1,1,"14",29,4,-9
35500,13,1,1,"9",23,5,-9
35500,14,4,1,"35",8,5,-9
35500,15,4,1,"20",3,5,-9
35500,16,4,1,"26",5,5,-9
27040,1,4,1,"27",2,5,-9
27040,2,4,1,"17",2,5,-9
27040,3,4,1,"27",2,5,-9
27040,4,4,1,"30",2,5,-9
27040,5,4,1,"15",2,5,-9
27040,6,4,1,"40",2,5,-9
27040,7,4,1,"15",7,5,-9
27040,8,4,1,"75",4,5,-9
27040,9,4,1,"24",2,5,-9
27040,10,4,1,"30",3,5,-9
27040,11,4,1,"30",3,5,-9
27040,12,4,1,"23",2,5,-9
27040,13,4,1,"31",2,5,-9
27011,1,3,2,"28",19,3,-9
27011,2,4,2,"20",8,4,-9
27011,3,4,2,"32",6,4,-9
27011,4,4,2,"11",11,4,-9
27011,5,2,2,"12",12,1,-9
27011,6,3,2,"25",34,4,-9
27011,7,2,2,"23",23,2,-9
27011,8,2,2,"10",10,1,-9
27011,9,2,2,"13",15,1,-9
27011,10,2,2,"14",16,1,-9
27011,11,3,2,"22",30,3,-9
27011,12,1,2,"11",110,2,-9
27011,13,1,2,"13",68,4,-9
27011,14,1,2,"11",70,2,-9
27011,15,1,2,"28",102,3,-9
27011,16,1,2,"17",180,3,-9
27011,17,1,2,"20",130,3,-9
27011,18,4,2,"30",8,4,-9
27011,19,1,2,"10",127,3,-9
27011,20,1,2,"21",130,4,-9
27011,21,1,2,"20",120,2,-9
27011,22,4,2,"15",3,4,-9
27011,23,4,2,"24",8,4,-9
27011,24,4,2,"15",6,4,-9
27011,25,1,2,"16",6,4,-9
27011,26,1,2,"16",102,4,-9
27011,27,1,2,"12",62,4,-9
27011,28,4,2,"17",4,4,-9
27011,29,1,2,"18",143,2,-9
27011,30,1,2,"11",96,4,-9
27011,31,1,2,"23",70,4,-9
27011,32,1,2,"15",47,3,-9
27011,33,4,2,"29",7,4,-9
27011,34,1,2,"22",9,4,-9
27011,35,1,2,"11",32,4,-9
27011,36,1,2,"27",9,4,-9
27011,37,1,2,"11",24,3,-9
27011,38,4,2,"37",5,4,-9
27011,39,4,2,"24",11,3,-9
27011,40,1,2,"9",122,2,-9
27011,41,1,2,"20",79,4,-9
27011,42,4,2,"15",8,4,-9
27011,43,1,2,"13",38,4,-9
27011,44,1,2,"29",143,3,-9
27011,45,3,2,"23",15,3,-9
27011,46,1,2,"28",60,3,-9
27011,47,1,2,"29",74,4,-9
27011,48,1,2,"23",50,2,-9
27011,49,1,2,"11",20,3,-9
27011,50,1,2,"9",80,4,-9
27011,51,1,2,"15",60,2,-9
27011,52,1,2,"12",150,2,-9
27011,53,1,2,"10",15,4,-9
27011,54,1,2,"11",40,4,-9
27011,55,1,2,"16",90,5,-9
27011,56,4,2,"42",2,5,-9
27011,57,4,2,"23",2,4,-9
26010,1,3,1,"13",45,2,-9
26010,2,3,1,"13",46,2,-9
26010,3,3,1,"16",71,4,-9
26010,4,3,1,"14",54,4,-9
26010,5,4,1,"11",8,4,-9
26010,6,1,1,"10",18,3,-9
26010,7,1,1,"7",57,3,-9
26010,8,1,1,"6",39,3,-9
26010,9,4,1,"11",2,4,-9
26010,10,4,1,"20",2,5,-9
26010,11,1,1,"7",11,2,-9
26010,12,1,1,"13",42,4,-9
26010,13,4,1,"21",60,5,-9
26010,14,1,1,"19",11,2,-9
26010,15,1,1,"8",21,3,-9
26010,16,1,1,"11",22,2,-9
26020,1,4,1,"10",6,4,-9
26020,2,3,1,"10",73,3,-9
26020,3,4,1,"13",3,4,-9
26020,4,3,1,"10",17,3,-9
26020,5,3,1,"18",106,2,-9
26020,6,3,1,"10",16,2,-9
26020,7,4,1,"14",6,4,-9
26020,8,4,1,"22",2,5,-9
26020,9,4,1,"10",11,3,-9
26020,10,3,1,"13",30,3,-9
26020,11,3,1,"10",39,3,-9
26020,12,2,1,"16",120,1,-9
26020,13,1,1,"11",21,2,-9
