"bund_nr","ld","ld_bze","ld_wze","bwi_tnr","bwi_eck","eu_wze","srid_ist","istre","istho","raster_8x8","raster_16x16","raster","hoehenn"
90457,-9,-9,90457,NA,NA,752,31468,4604119,5422096,FALSE,FALSE,"-9",-9
90458,-9,-9,90458,NA,NA,802,31468,4572099,5390108,FALSE,FALSE,"-9",-9
90459,-9,-9,90459,NA,NA,804,31468,4621172,5390518,FALSE,FALSE,"-9",-9
90460,-9,-9,90460,NA,NA,820,31468,4428096,5374104,FALSE,FALSE,"-9",-9
90461,-9,-9,90461,NA,NA,924,31468,4536098,5314084,FALSE,FALSE,"-9",-9
90462,-9,-9,90462,NA,NA,943,31468,4476087,5294069,FALSE,FALSE,"-9",-9
90463,-9,-9,90463,NA,NA,963,31468,4444084,5278074,FALSE,FALSE,"-9",-9
90464,-9,-9,90464,NA,NA,9070,31468,4379903,5310405,FALSE,FALSE,"-9",-9
90465,-9,-9,90465,NA,NA,9071,31468,4460108,5534128,FALSE,FALSE,"-9",-9
90466,-9,-9,90466,NA,NA,9072,31468,4396106,5278115,FALSE,FALSE,"-9",-9
90467,-9,-9,90467,NA,NA,9073,31468,4604122,5390115,FALSE,FALSE,"-9",-9
90886,-9,-9,-9,NA,NA,-9,31468,4450884,5475406,FALSE,FALSE,"-9",-9
120023,-9,-9,-9,NA,NA,-9,31468,-1,-1,FALSE,FALSE,"-9",-9
140317,-9,-9,-9,NA,NA,-9,-9,-9,-9,FALSE,FALSE,"-9",-9
150018,-9,-9,-9,NA,NA,-9,31468,4464600,5802900,TRUE,FALSE,"-9",-9
150027,-9,-9,-9,NA,NA,-9,31468,4519200,5753200,TRUE,FALSE,"-9",-9
150035,-9,-9,-9,NA,NA,-9,31468,4472700,5802700,TRUE,FALSE,"-9",-9
60003,-9,10301,10301,NA,NA,0,31467,3500040,5524040,FALSE,FALSE,"-9",320
150056,-9,-9,-9,NA,NA,-9,31468,4465100,5818900,TRUE,FALSE,"-9",-9
150551,-9,-9,-9,NA,NA,-9,-9,-9,-9,FALSE,FALSE,"-9",-9
150552,-9,-9,-9,NA,NA,-9,-9,-9,-9,FALSE,FALSE,"-9",-9
150553,-9,-9,-9,NA,NA,-9,-9,-9,-9,FALSE,FALSE,"-9",-9
160099,-9,-9,-9,NA,NA,-9,31468,4406681,5605226,FALSE,FALSE,"-9",-9
10001,-9,1002,1002,NA,NA,-9,31467,3588004,5935007,FALSE,FALSE,"-9",42
10002,-9,1004,1004,NA,NA,-9,31468,4412009,5935010,FALSE,FALSE,"-9",16
